externalId,customerName,customerEmail,timestamp,description,merchant,mcc,amount,category
TXN1,John Doe,john@example.com,2025-01-02 10:15:00,Grocery shopping,Woolworths,5411,450.75,FOOD
TXN2,John Doe,john@example.com,2025-01-04 18:20:00,Taxi ride,Uber,4121,85.50,
TXN3,John Doe,john@example.com,2025-01-05 07:45:00,Electricity bill,Eskom,4900,1200.00,UTILITIES
TXN4,John Doe,john@example.com,2025-02-14 21:30:00,Movie night,Netflix,7832,160.00,ENTERTAINMENT
TXN5,John Doe,john@example.com,2025-02-20 13:10:00,New shoes,Takealot,5661,750.00,
TXN6,John Doe,john@example.com,2025-03-01 09:00:00,Pharmacy purchase,Clicks,5912,230.00,HEALTHCARE
TXN7,John Doe,john@example.com,2025-03-15 12:00:00,Phone bill,Vodacom,4812,400.00,COMMUNICATION
TXN8,John Doe,john@example.com,2025-04-01 08:00:00,Salary deposit,Capitec Bank,0000,20000.00,INCOME
TXN9,John Doe,john@example.com,2025-04-10 14:30:00,Flight booking,SAA,4511,3500.00,
TXN10,John Doe,john@example.com,2025-05-05 15:45:00,Online course,Coursera,8299,1250.00,EDUCATION
TXN11,Jane Smith,jane@example.com,2025-01-03 11:15:00,Supermarket purchase,Pick n Pay,5411,300.00,FOOD
TXN12,Jane Smith,jane@example.com,2025-01-09 17:25:00,Bus ticket,Metrobus,4111,25.00,
TXN13,Jane Smith,jane@example.com,2025-01-10 08:45:00,Water bill,Joburg Water,4900,350.00,UTILITIES
TXN14,Jane Smith,jane@example.com,2025-02-11 19:00:00,Cinema outing,Ster-Kinekor,7832,120.00,
TXN15,Jane Smith,jane@example.com,2025-02-18 16:00:00,Clothing purchase,Zara,5651,900.00,
TXN16,Jane Smith,jane@example.com,2025-03-02 10:30:00,Doctor visit,Mediclinic,8062,600.00,HEALTHCARE
TXN17,Jane Smith,jane@example.com,2025-03-18 13:00:00,Internet subscription,Telkom,4812,550.00,COMMUNICATION
TXN18,Jane Smith,jane@example.com,2025-04-01 08:30:00,Salary deposit,Capitec Bank,0000,18000.00,INCOME
TXN19,Jane Smith,jane@example.com,2025-04-12 15:00:00,Hotel booking,Marriott,7011,2800.00,TRAVEL
TXN20,Jane Smith,jane@example.com,2025-05-08 14:45:00,Tutor fees,Khan Academy,8299,800.00,EDUCATION
TXN21,Bob Brown,bob@example.com,2025-01-05 09:50:00,Groceries,Checkers,5411,520.00,
TXN22,Bob Brown,bob@example.com,2025-01-12 18:10:00,Taxi ride,Bolt,4121,75.00,TRANSPORT
TXN23,Bob Brown,bob@example.com,2025-01-15 07:30:00,Electricity bill,Eskom,4900,980.00,UTILITIES
TXN24,Bob Brown,bob@example.com,2025-02-16 20:20:00,Concert tickets,Computicket,7922,700.00,ENTERTAINMENT
TXN25,Bob Brown,bob@example.com,2025-02-21 12:45:00,New jacket,Superbalist,5651,650.00,
TXN26,Bob Brown,bob@example.com,2025-03-03 11:05:00,Pharmacy purchase,Dis-Chem,5912,310.00,
TXN27,Bob Brown,bob@example.com,2025-03-17 13:30:00,Mobile data,MTN,4812,350.00,
TXN28,Bob Brown,bob@example.com,2025-04-01 08:15:00,Salary deposit,Capitec Bank,0000,15000.00,INCOME
TXN29,Bob Brown,bob@example.com,2025-04-15 16:20:00,Airline ticket,Kulula,4511,3200.00,TRAVEL
TXN30,Bob Brown,bob@example.com,2025-05-12 14:50:00,Online course,Udemy,8299,950.00,
